compensation,frame,path,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32
1,1,/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,0.0,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,7.852999999999838,-37.625,101.65999999999984,-183.8079,114.731,-187.81730000000005,121.63599999999995,-200.6184000000001,113.22000000000004,-179.3094000000001,104.49499999999988,-173.1408,10.069999999999936,-71.38200000000006,-0.3479999999999563,-83.50590000000011,-17.447000000000116,-98.66150000000005,-1045.738,-1045.738,-14.261999999999944,-95.461,0.0,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,72.80859999999996,69.5179,210.5548,170.8623,276.9644,241.91559999999996,312.4784,275.18639999999994,289.73169999999993,259.5421,273.9499,244.8668,308.25839999999994,304.44089999999994,529.8674,525.3206,742.7826,742.9205999999999,-307.2164,-307.2164,792.4695999999999,792.4956,0.0,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-24.9509,-21.85524,-45.27476,-33.992580000000004,79.15193,88.47552999999999,105.42833000000002,115.45903,124.35793,131.19923,95.88793,101.49543,-37.69084,-28.318900000000003,-38.89564,-45.227116,-101.69009,-89.82048,-53.49067,-53.49067,-53.7973316,-41.812920000000005
1,2,/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,5.3659999999999854,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,12.200000000000044,-33.22700000000009,105.039,-181.62440000000004,117.59899999999992,-183.5612000000001,124.22299999999996,-196.1816,115.99,-174.2201,107.3889999999999,-168.59770000000003,12.779999999999973,-68.67820000000006,1.1289999999999054,-82.1536000000001,-17.180000000000064,-98.3125,-1045.738,-1045.738,-14.419000000000096,-95.60310000000004,1.0036000000000058,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,73.3238,69.7047,211.3067,168.59299999999996,276.4225,239.5484,311.6872,272.60450000000003,288.6585,257.29999999999995,273.1349,242.7315,308.6201,304.3496,530.1591,524.9095,742.0185999999999,742.2955999999999,-307.2164,-307.2164,792.2226,792.2955999999999,7.149540000000002,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-19.030500000000004,-15.567709999999998,-44.563493,-26.49023,80.59733,96.08493,107.27903,123.41533,125.94663,138.58223,97.29753,108.71773000000002,-33.65205,-24.537830000000003,-35.9533,-44.349021,-101.89741,-89.62951000000001,-53.49067,-53.49067,-54.52077,-42.033910000000006
1,3,/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,8.135999999999967,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,14.454999999999927,-30.944000000000077,106.79199999999992,-180.42450000000008,119.04299999999988,-181.1684,125.51499999999989,-193.65550000000007,117.366,-171.36160000000007,108.83899999999994,-166.05180000000007,14.214999999999918,-67.24610000000007,1.9039999999999964,-81.42590000000007,-16.98400000000015,-98.14640000000009,-1045.738,-1045.738,-14.5150000000001,-95.68670000000007,1.561999999999955,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,73.6028,69.82529999999997,211.6205,167.47629999999998,276.0069,238.43920000000003,311.131,271.40149999999994,287.9547,256.27149999999995,272.5752,241.7414,308.81499999999994,304.30240000000003,530.3122,524.6877999999999,741.6456000000001,741.9076,-307.2164,-307.2164,792.0716,792.1415999999999,10.9835,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-15.85423,-12.20057,-44.099385,-22.43481,81.46873,100.14903,108.37183000000002,127.65343,126.89243000000002,142.50743,98.14373,112.56723,-31.50526,-22.53382,-34.3271,-43.744561,-101.77919,-89.61607000000001,-53.49067,-53.49067,-54.623282,-42.25433
1,4,/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,13.774999999999864,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,19.086000000000013,-26.25500000000011,110.4659999999999,-177.8138,122.10099999999989,-175.9847000000001,128.28999999999996,-188.14640000000009,120.28700000000003,-165.20080000000007,111.90300000000002,-160.55970000000002,17.232999999999947,-64.22950000000003,3.559999999999945,-79.85090000000002,-16.50999999999999,-97.78320000000008,-1045.738,-1045.738,-14.622000000000073,-95.9027000000001,2.777199999999993,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,74.19619999999998,70.1223,212.0616,165.3286,274.9339,236.39329999999995,309.765,269.1888,286.301,254.4055,271.22090000000003,239.93089999999995,309.22950000000003,304.21039999999994,530.6314,524.2239999999999,740.9795999999999,741.0126,-307.2164,-307.2164,791.7385999999999,791.7506000000001,19.08469,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-9.11842,-5.088720000000002,-43.03685,-13.878480000000003,83.35453000000001,108.63493,110.70173,136.48243,128.92173,150.67853,99.97293000000002,120.60063,-26.93351,-18.24678,-30.77586,-42.13553,-100.91355,-89.55945,-53.49067,-53.49067,-54.0887382,-42.71065
1,5,/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,15.96699999999987,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,21.019999999999985,-24.31200000000001,112.05199999999992,-176.20720000000006,122.683,-173.42950000000008,128.5719999999999,-185.38610000000008,120.54399999999988,-162.31810000000007,112.39599999999996,-157.91070000000002,18.89799999999991,-62.5639000000001,4.992999999999938,-78.42860000000007,-15.278999999999996,-96.55960000000005,-1045.738,-1045.738,-13.491999999999962,-94.77660000000004,3.2075999999999567,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,74.38469999999995,70.26319999999998,212.28869999999995,165.06309999999996,272.60360000000003,235.77329999999995,306.8922,268.47939999999994,283.033,253.66869999999997,268.516,239.2854,309.386,304.2798,530.7704,524.23,740.9576,740.9695999999999,-307.2164,-307.2164,791.7846,791.7636,22.364,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-6.254820000000002,-2.162440000000004,-40.900850000000005,-10.703700000000005,86.81823,111.99683000000002,114.90723,140.03773,132.59523000000002,154.00493,103.29333,123.84833,-24.441740000000003,-15.801450000000004,-28.45445,-40.11003,-99.01383,-87.68406999999999,-53.49067,-53.49067,-52.258401,-40.89253
1,6,/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,17.848999999999933,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,22.76299999999992,-22.568000000000097,113.62400000000002,-174.4651,123.18499999999996,-170.9284,128.77700000000004,-182.6657,120.68799999999987,-159.5747,112.79199999999992,-155.3456000000001,20.638999999999896,-60.82330000000002,6.7309999999999945,-76.68780000000004,-13.54300000000012,-94.80200000000002,-1045.738,-1045.738,-11.756000000000084,-93.01110000000006,3.543899999999951,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,74.51839999999999,70.39639999999997,212.4575,165.19459999999998,269.6255,235.3253,303.2255,267.9331,278.91610000000003,252.9947,265.1056,238.73990000000003,309.5193,304.41239999999993,530.9036,524.3654,741.0896,741.1525999999999,-307.2164,-307.2164,791.9136000000001,791.9015999999999,25.271300000000004,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-3.629490000000004,0.4634599999999977,-38.39124,-8.077840000000002,90.85073,114.93533,119.81893,143.18243,136.85413,156.97443,107.14463,126.73133,-21.82047,-13.179189999999998,-25.83679,-37.463800000000006,-96.39949,-84.82938,-53.49067,-53.49067,-49.64074,-37.989450000000005
1,7,/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,25.136999999999944,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,28.686999999999895,-16.55300000000011,118.50699999999983,-171.74650000000008,127.94599999999993,-164.1508,133.38699999999994,-175.3963000000001,125.47599999999989,-151.2504,117.60899999999992,-148.1107000000001,23.90099999999984,-57.54380000000003,7.202999999999975,-76.25720000000001,-15.52800000000002,-96.84410000000004,-1045.738,-1045.738,-14.756000000000084,-96.16700000000004,5.639899999999955,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,75.55439999999999,71.02009999999996,212.29509999999996,161.70959999999997,271.32269999999994,233.40009999999995,305.3453999999999,266.0158,281.221,251.88249999999996,266.96169999999995,237.3822,310.2057,304.09619999999995,531.3462,523.1831,739.3776,738.9785999999999,-307.2164,-307.2164,790.9515999999999,790.8226,36.86747,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,5.769880000000001,10.40576,-38.93603,4.455759999999998,89.47623000000002,126.38133000000002,117.97603,154.81873000000002,135.35433,167.61693,105.84973,137.35783,-16.930530000000005,-8.79609,-23.14671,-38.31611,-99.13715,-89.07485,-53.49067,-53.49067,-53.1786507,-43.41955
1,8,/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,27.951000000000025,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,31.14799999999991,-14.073000000000093,120.70100000000002,-170.0136000000001,129.241,-160.83050000000003,134.40699999999993,-171.78070000000002,126.4659999999999,-147.3668,118.81999999999994,-144.6377000000001,25.68399999999997,-55.75040000000001,8.173999999999978,-75.34090000000003,-15.285000000000082,-96.58910000000004,-1045.738,-1045.738,-14.812000000000126,-96.2038,6.4529,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,75.94319999999999,71.32989999999995,212.2545,161.04649999999998,270.1546,232.9218,303.9268,265.5178,279.6183,251.5164,265.61069999999995,236.99439999999996,310.49429999999995,304.10169999999994,531.5531,522.8129,738.7406000000001,738.5116,-307.2164,-307.2164,790.6725999999999,790.6156000000001,41.58547,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,9.7494,14.48328,-37.37626,9.241799999999998,91.61103,130.94913,120.45753000000002,159.52403,137.56333,171.95353,107.88073,141.66513,-14.288890000000002,-6.2637,-21.14353,-37.92331,-99.19022,-88.82234,-53.49067,-53.49067,-53.6325271,-43.46058
1,9,/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,33.677999999999884,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,36.21199999999999,-8.980000000000018,125.29999999999995,-166.42240000000004,131.99900000000002,-154.37060000000008,136.63300000000004,-164.7990000000001,128.635,-139.8891000000001,121.41599999999994,-137.91000000000008,29.345000000000027,-52.064700000000016,10.107999999999947,-73.60180000000003,-14.773000000000138,-96.12240000000008,-1045.738,-1045.738,-14.894000000000004,-96.27890000000002,8.235699999999952,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,76.8277,72.04499999999996,212.1494,159.7301,267.8376999999999,232.21219999999997,301.12569999999994,264.81949999999995,276.4757,251.1145,262.94960000000003,236.491,311.1382,304.1559,531.9843,521.7082,737.7806,737.6025999999999,-307.2164,-307.2164,790.3286,790.2236,51.34283,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,18.021899999999995,22.87247,-33.85252,18.619489999999992,96.21283,139.71523000000002,125.70553,168.47173,142.28823,180.22923,112.27713,149.93113,-8.794450000000005,-1.017009999999999,-17.594750000000005,-38.803740000000005,-98.81711,-88.30499,-53.49067,-53.49067,-53.9689072,-43.542073
1,10,/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,36.646999999999935,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,-1045.738,38.85400000000004,-6.324000000000069,127.702,-164.5218000000001,133.25699999999983,-151.1454000000001,137.567,-161.33770000000004,129.53999999999996,-136.19400000000007,122.57899999999997,-134.5652,31.236999999999853,-50.1536000000001,11.047000000000024,-72.82210000000009,-14.663000000000013,-95.92280000000004,-1045.738,-1045.738,-15.076000000000022,-96.37120000000004,9.235299999999995,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,-307.2164,77.35339999999997,72.47249999999997,212.1577,159.09109999999998,266.7849,231.9991,299.8528,264.63879999999995,275.0439,251.0978,261.7325,236.3935,311.5122,304.2289999999999,532.2178,520.7966,737.3566000000001,737.1306,-307.2164,-307.2164,790.1836000000001,790.0326,56.47192999999999,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,-53.49067,22.40295,27.2818,-31.729100000000003,23.35886,98.83933000000002,144.05923,128.62713,172.86373,144.95693,184.30953,114.78943,154.02983,-5.883420000000001,1.817589999999996,-15.981100000000003,-40.671490000000006,-98.59669,-87.93834000000001,-53.49067,-53.49067,-54.0791405,-43.510182
