path,frame,compensation,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,x_21,y_21,z_21,x_22,y_22,z_22,x_23,y_23,z_23,x_24,y_24,z_24,x_25,y_25,z_25,x_26,y_26,z_26,x_27,y_27,z_27,x_28,y_28,z_28,x_29,y_29,z_29,x_30,y_30,z_30,x_31,y_31,z_31,x_32,y_32,z_32
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,1,0,993.7168,312.4525,60.97508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019.084,379.4885,27.63637,973.4301,381.5635,27.90013,1124.027,498.7738,-29.41168,863.559,511.1595,4.012144,1086.262,511.5729,106.5037,896.7964,522.6897,141.2179,1079.02,534.0649,144.4649,901.1107,544.4536,180.0335,1068.33,505.666,149.5439,914.1476,516.9481,184.5118,1071.707,502.1813,116.1944,911.8788,514.2878,150.9931,1048.709,613.0088,6.101518,966.7449,617.322,6.475111,1060.592,832.465,-24.2021,978.9515,838.6439,-2.921158,1072.154,1048.095,-78.40683,990.1877,1048.193,-77.29233,0,0,0,0,0,0,1075.14,1099.84,-32.73212,993.1956,1099.787,-31.4487
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,2,0,993.4863,312.7902,64.01797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.821,379.8154,30.58905,973.1674,381.8972,30.82326,1123.701,499.2338,-25.99069,863.1453,511.4349,7.464449,1085.408,511.8582,109.7934,897.6895,522.91,144.3517,1077.986,534.3073,147.7451,902.3693,544.657,183.1344,1067.327,505.8857,152.7617,915.455,517.1525,187.4752,1070.834,502.4335,119.4223,912.8666,514.5072,153.9784,1048.485,613.2327,8.043701,966.5215,617.5582,8.304618,1060.593,832.5265,-23.32798,978.9254,838.8309,-1.954212,1072.409,1047.819,-78.80679,990.4175,1048.024,-77.28135,0,0,0,0,0,0,1075.305,1099.822,-33.42075,993.3979,1099.827,-31.67138
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,3,0,993.1717,312.9131,65.71051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.501,379.9758,32.30756,972.8478,382.0733,32.51107,1123.338,499.462,-23.98051,862.7879,511.6135,9.48567,1084.79,511.992,111.7401,898.1819,523.1014,146.1546,1077.28,534.4177,149.6883,903.1058,544.853,184.9045,1066.637,505.9843,154.6734,916.2133,517.3468,189.1679,1070.207,502.5499,121.3388,913.4169,514.6973,155.6882,1048.258,613.3201,9.168798,966.2965,617.6786,9.355987,1060.538,832.5084,-22.86646,978.8605,838.9219,-1.331834,1072.531,1047.667,-78.8232,990.5656,1047.87,-77.30415,0,0,0,0,0,0,1075.441,1099.776,-33.55896,993.5262,1099.802,-31.84067
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,4,0,992.8257,312.9755,66.99379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.142,380.083,33.63926,972.4889,382.1956,33.82878,1122.927,499.6111,-22.48259,862.4658,511.7713,11.0216,1084.324,512.1019,113.2262,898.569,523.3661,147.4958,1076.791,534.518,151.1755,903.7057,545.1512,186.1992,1066.159,506.0793,156.1518,916.8176,517.6409,190.4213,1069.742,502.6522,122.8179,913.8475,514.9614,156.959,1047.986,613.3766,10.13213,966.0261,617.7663,10.27232,1060.399,832.5004,-22.29041,978.7238,838.9941,-0.5775585,1072.54,1047.619,-78.3688,990.6353,1047.766,-77.0019,0,0,0,0,0,0,1075.445,1099.767,-33.14879,993.6022,1099.782,-31.63464
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,5,0,992.4915,312.954,67.98187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.747,380.1627,34.76629,972.0944,382.2766,34.96158,1122.446,499.7177,-21.38061,861.8882,511.7795,12.26413,1083.916,512.3638,114.3346,898.0193,523.4763,148.7222,1076.398,534.8241,152.2608,903.134,545.2821,187.417,1065.776,506.3886,157.2778,916.2919,517.7942,191.6433,1069.342,502.9218,123.9461,913.3146,515.0994,158.1828,1047.598,613.4518,11.22775,965.6376,617.8451,11.37649,1060.019,832.5724,-21.21295,978.3491,839.088,0.8560467,1072.173,1047.789,-76.91071,990.2667,1047.815,-75.69006,0,0,0,0,0,0,1075.081,1099.858,-31.59972,993.2418,1099.834,-30.3269
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,6,0,991.7755,313.138,69.84225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.131,380.2763,36.5543,971.4801,382.4313,36.61264,1121.842,499.9305,-18.93685,861.2955,511.9805,14.29527,1082.855,512.3397,116.6695,898.6943,523.8099,150.4,1075.188,534.7374,154.6029,904.177,545.6556,189.0217,1064.582,506.283,159.5446,917.3612,518.1664,193.1562,1068.26,502.8677,126.2199,914.0729,515.4363,159.7277,1047.236,613.4334,12.15284,965.2812,617.9309,12.17944,1059.965,832.4144,-21.10088,978.2919,839.1384,1.285671,1072.467,1047.498,-77.23602,990.5654,1047.559,-76.03342,0,0,0,0,0,0,1075.396,1099.706,-32.08809,993.5458,1099.716,-30.82888
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,7,0,990.8181,313.3342,71.94394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.2,380.3805,38.49407,970.5532,382.6208,38.58153,1120.741,500.1167,-16.59174,860.2665,512.2568,17.22701,1081.786,512.2316,119.0502,899.5786,524.2144,152.7802,1074.111,534.5497,157.0289,905.6033,546.0962,191.3006,1063.531,506.0769,161.9192,918.8465,518.6116,195.2743,1067.201,502.7289,128.5867,915.0877,515.8503,161.898,1046.701,613.3776,13.13512,964.7555,618.0441,13.26711,1059.793,832.1962,-21.0337,978.1742,839.2167,2.164188,1072.628,1047.135,-77.64361,990.7377,1047.331,-75.93084,0,0,0,0,0,0,1075.722,1099.497,-32.68458,993.821,1099.596,-30.85877
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,8,0,989.9294,313.4386,73.35487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.432,380.45,39.93888,969.7864,382.7202,39.83049,1119.995,500.3193,-14.40302,859.3851,512.3179,18.60825,1080.506,512.2679,121.0994,899.3294,524.5179,153.9548,1072.659,534.5435,159.0678,905.5073,546.4612,192.4159,1062.095,506.0534,163.8929,918.809,519.0012,196.3636,1065.897,502.739,130.5719,914.8942,516.1887,163.0095,1046.213,613.3455,14.08085,964.2738,618.1085,14.04156,1059.576,832.0646,-20.61781,977.9199,839.2692,2.975761,1072.725,1046.941,-77.39417,990.8219,1047.176,-75.61558,0,0,0,0,0,0,1075.767,1099.396,-32.54087,993.8483,1099.505,-30.6144
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,9,0,988.9442,313.522,74.62102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.614,380.5032,41.29466,968.9711,382.7939,40.90309,1119.273,500.4919,-12.21359,858.55,512.3693,19.60347,1079.123,512.3779,123.0999,898.9155,524.8765,154.797,1071.07,534.6393,161.0336,905.1924,546.9012,193.1955,1060.514,506.1371,165.8039,918.5375,519.4637,197.1535,1064.479,502.8318,132.501,914.5186,516.5821,163.8177,1045.689,613.3071,15.06475,963.7552,618.1573,14.72715,1059.328,831.9362,-20.09086,977.5983,839.3101,3.749044,1072.826,1046.78,-76.90794,990.9091,1047.008,-75.3242,0,0,0,0,0,0,1075.761,1099.316,-32.14195,993.8688,1099.406,-30.39803
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,10,0,988.1978,313.5866,75.59595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013.902,380.5255,42.24278,968.2618,382.8644,41.80215,1118.465,500.5365,-11.06266,857.8594,512.5128,20.89536,1078.383,512.5167,124.2629,899.0633,525.3312,155.8064,1070.345,534.8054,162.1836,905.573,547.4428,194.1162,1059.798,506.3043,166.9815,918.9504,520.0179,198.0517,1063.747,502.9742,133.679,914.7247,517.0613,164.748,1045.254,613.2523,15.68096,963.3258,618.1997,15.29873,1059.093,831.7958,-19.92379,977.3628,839.3452,4.420305,1072.793,1046.644,-76.67677,990.8808,1046.836,-75.1608,0,0,0,0,0,0,1075.792,1099.218,-31.95952,993.9384,1099.309,-30.33007
