path,frame,compensation,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,x_21,y_21,z_21,x_22,y_22,z_22,x_23,y_23,z_23,x_24,y_24,z_24,x_25,y_25,z_25,x_26,y_26,z_26,x_27,y_27,z_27,x_28,y_28,z_28,x_29,y_29,z_29,x_30,y_30,z_30,x_31,y_31,z_31,x_32,y_32,z_32
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/3D Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,1,True,1001.265,299.9778,5.740273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024.118,376.6957,-3.243894,978.4155,376.6947,-3.244039,1216.287,379.3184,-14.40463,786.2437,379.3185,-14.40439,1357.931,379.3182,-14.40477,644.5994,379.3183,-14.40414,1398.32,381.7526,-33.43606,604.2161,381.7519,-33.4355,1403.478,381.9085,-3.105426,599.058,381.9076,-3.104919,1370.262,387.1992,-0.9961128,632.2754,387.1882,-0.9948168,1042.304,612.0095,13.11168,960.2262,612.0092,13.11166,1042.304,833.8573,15.13498,960.2261,833.8573,15.13946,1042.304,1055.956,-0.375133,960.2261,1055.955,-0.3756938,0,0,0,0,0,0,1042.304,1099.599,53.17767,960.2261,1099.599,53.1771
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/3D Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,2,True,997.9434,300.299,35.68465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020.752,372.6132,12.9646,975.1168,373.6674,10.72436,1167.04,476.228,11.89532,825.8219,476.1093,-2.143965,1194.955,545.2988,132.3653,786.0493,542.2676,116.6176,1213.823,577.4628,157.0409,764.1201,573.3346,140.131,1194.561,562.7599,175.9982,782.415,559.083,160.3489,1182.795,548.8584,147.6427,796.8469,546.0416,132.8285,1045.459,607.431,3.04356,963.4291,610.1178,2.241657,1052.268,827.5643,-23.70509,970.2003,831.6251,-8.216537,1059.137,1047.516,-57.50335,977.2095,1048.377,-58.59267,0,0,0,0,0,0,1060.281,1096.716,-9.019012,978.387,1097.825,-10.36256
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/3D Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,3,True,1002.92,310.8007,52.81845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026.043,379.3684,22.45904,980.4798,380.3736,19.04347,1124.808,510.3252,8.20496,876.2551,511.0568,-1.267511,1088.772,514.7179,145.118,897.7759,513.6016,138.7092,1081.935,534.8422,184.4582,899.2018,532.9096,179.0093,1071.45,506.1295,187.9557,911.2045,504.8473,182.8841,1074.394,504.6785,154.4153,911.7743,504.2346,149.1939,1052.04,612.7588,-3.256893,970.0416,615.9574,-4.912834,1061.352,831.3576,-39.9774,979.2888,836.9598,-22.03313,1070.878,1047.566,-92.24252,989.2071,1047.663,-93.26531,0,0,0,0,0,0,1072.04,1099.91,-47.17206,990.3528,1099.901,-48.07067
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/3D Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,4,True,1005.251,310.6567,51.01455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028.281,379.4524,20.80296,982.6937,380.3471,17.69534,1126.955,510.5376,5.430077,878.8408,511.1223,-2.274603,1092.979,514.4359,142.8837,900.194,514.4847,137.7105,1086.731,534.418,182.394,901.6185,534.0526,177.8851,1076.31,505.6894,185.9477,913.538,505.9833,181.9604,1078.747,504.3584,152.3616,914.152,505.148,148.2758,1053.458,613.0177,-4.309104,971.4476,615.9106,-5.923563,1062.227,832.0384,-38.56697,980.0289,836.946,-22.96589,1071.255,1047.923,-92.23769,989.2982,1048.08,-93.00005,0,0,0,0,0,0,1072.324,1100.113,-46.98594,990.298,1100.189,-47.65361
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/3D Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,5,True,1006.697,310.5737,49.84025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029.667,379.4988,19.69223,984.0634,380.3311,16.80541,1128.324,510.6339,3.539392,880.1927,511.0722,-2.928108,1095.716,514.1027,141.3354,901.5839,515.0068,137.0362,1089.864,533.965,180.9666,903.0186,534.7385,177.1303,1079.474,505.2267,184.5362,914.9404,506.6865,181.3168,1081.577,503.998,150.9236,915.5452,505.7139,147.6357,1054.363,613.1638,-5.05819,972.3452,615.8828,-6.619003,1062.706,832.3624,-38.26776,980.5184,836.9207,-23.82836,1071.335,1048.133,-92.4603,989.3552,1048.373,-92.95245,0,0,0,0,0,0,1072.204,1100.321,-47.20152,990.2787,1100.399,-47.50959
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/3D Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,6,True,1006.583,310.5196,49.49595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029.68,379.5126,19.47025,984.0767,380.3451,16.58728,1128.373,510.6563,3.462866,880.3816,511.1714,-3.074544,1095.64,513.539,141.2427,901.56,515.2271,136.9187,1089.752,533.2572,180.9406,902.953,534.9984,176.9947,1079.367,504.5039,184.3987,914.8394,506.9384,181.2284,1081.496,503.3965,150.7836,915.4954,505.9307,147.5493,1054.363,613.2035,-5.039873,972.3448,615.9209,-6.59569,1062.691,832.4987,-37.61046,980.5162,836.9431,-24.00749,1071.315,1048.219,-92.0042,989.3384,1048.641,-92.3757,0,0,0,0,0,0,1072.189,1100.448,-46.79367,990.2547,1100.506,-46.74879
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/3D Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,7,True,1008.023,310.4517,48.44651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030.903,379.5245,18.4265,985.2863,380.3041,15.74387,1129.579,510.7122,1.786535,881.4282,511.0446,-3.676587,1098.046,513.6233,139.8454,902.8953,515.3853,136.2641,1092.517,533.3472,179.5918,904.3555,535.2342,176.2995,1082.142,504.6011,183.1415,916.2738,507.1921,180.5618,1083.978,503.4908,149.5092,916.8604,506.1205,146.8834,1055.18,613.2972,-5.771763,973.1557,615.8708,-7.269024,1063.137,832.6732,-37.88663,980.976,836.8881,-24.90073,1071.388,1048.411,-92.26739,989.3809,1048.834,-92.54927,0,0,0,0,0,0,1072.2,1100.61,-47.02031,990.2651,1100.668,-46.88612
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/3D Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,8,True,1009.264,310.3762,47.37785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032.03,379.5259,17.37103,986.402,380.2562,14.87209,1130.755,510.7263,0.03920373,882.3325,510.89,-4.429165,1100.436,513.4829,138.373,904.0195,515.5999,135.4657,1095.274,533.1592,178.1923,905.5193,535.5485,175.4499,1084.904,504.4178,181.7949,917.4797,507.5319,179.7616,1086.444,503.3503,148.1464,918.0133,506.3787,146.0849,1055.938,613.3755,-6.490296,973.9095,615.822,-7.928499,1063.553,832.8199,-38.21947,981.3983,836.8362,-25.74212,1071.445,1048.614,-92.43139,989.462,1049.01,-92.7158,0,0,0,0,0,0,1072.227,1100.753,-47.11556,990.2816,1100.813,-47.01627
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/3D Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,9,True,1010.602,310.2731,46.0459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033.262,379.5141,16.07681,987.6236,380.1895,13.76926,1132.068,510.7231,-1.988773,883.2612,510.6817,-5.45267,1103.023,513.1279,136.6246,905.2041,515.8508,134.3861,1098.241,532.6866,176.5491,906.7422,535.9218,174.3076,1087.877,503.944,180.1578,918.7632,507.9406,178.6803,1089.111,502.9783,146.4936,919.2353,506.6876,145.0062,1056.774,613.4521,-7.331468,974.7397,615.767,-8.691668,1064.009,832.974,-38.61015,981.8626,836.7828,-26.6333,1071.508,1048.873,-92.4578,989.5374,1049.205,-92.85964,0,0,0,0,0,0,1072.243,1100.914,-47.02759,990.3026,1100.97,-47.11559
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/3D Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,10,True,1011.926,310.1655,44.62492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034.476,379.4937,14.69975,988.8286,380.1125,12.56209,1133.347,510.727,-3.970416,884.1042,510.4282,-6.656261,1105.303,512.6092,134.857,906.3671,516.0917,133.1127,1100.828,531.999,174.8995,907.9521,536.2925,172.9669,1090.457,503.2526,178.4566,920.0505,508.354,177.3992,1091.45,502.4324,144.7806,920.4454,506.9957,143.7283,1057.603,613.5156,-8.242559,975.5642,615.7087,-9.511656,1064.458,833.1123,-39.07856,982.3312,836.7286,-27.54307,1071.567,1049.14,-92.46176,989.6038,1049.37,-93.11101,0,0,0,0,0,0,1072.251,1101.064,-46.89796,990.3228,1101.109,-47.33877
