path,frame,compensation,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,x_21,y_21,z_21,x_22,y_22,z_22,x_23,y_23,z_23,x_24,y_24,z_24,x_25,y_25,z_25,x_26,y_26,z_26,x_27,y_27,z_27,x_28,y_28,z_28,x_29,y_29,z_29,x_30,y_30,z_30,x_31,y_31,z_31,x_32,y_32,z_32
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/VR Quest/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,1,False,-872.2411,-799.7578,-25.04673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-897.0461,-728.0993,-0.4744077,-851.3698,-726.6333,-0.9237888,-1036.913,-622.8495,38.18541,-700.6247,-624.224,12.40889,-1064.592,-540.1284,-73.41285,-661.9224,-552.2585,-103.2899,-1081.962,-504.3501,-93.84727,-640.0565,-520.1748,-125.4586,-1064.726,-518.4191,-115.0969,-658.7374,-533.217,-146.1346,-1052.86,-535.9338,-88.86381,-672.9052,-547.5649,-119.132,-923.5605,-493.2049,4.088919,-841.5435,-490.1215,3.400081,-930.9641,-272.5942,26.37604,-849.2431,-268.4423,7.84564,-938.305,-52.01861,55.71495,-856.4609,-50.48687,52.69581,0,0,0,0,0,0,-940.5326,-3.854914,6.238234,-858.671,-2.899161,2.664063
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/VR Quest/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,2,False,-871.3057,-787.6544,-50.4135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-896.7958,-720.8615,-16.83326,-851.1444,-718.7355,-17.15513,-1001.522,-601.7371,40.90927,-741.6438,-588.9228,7.253008,-964.7001,-588.7306,-95.24538,-773.7291,-576.9364,-130.1877,-957.7369,-566.183,-133.2257,-777.7469,-555.0357,-168.9583,-947.0605,-594.5671,-138.4154,-790.7018,-582.5447,-173.6489,-950.2053,-598.0983,-105.0482,-788.7144,-585.3254,-140.122,-926.6794,-487.2841,3.747308,-844.7211,-482.8831,3.242097,-938.4536,-267.924,34.78019,-856.8577,-261.5334,12.05722,-949.9183,-51.75374,86.81149,-867.9716,-51.67278,85.56364,0,0,0,0,0,0,-952.9902,-0.2026567,40.92363,-871.0773,-0.2279358,39.559
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/VR Quest/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,3,False,-871.629,-786.9713,-54.98016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-896.9839,-719.9578,-21.57136,-851.3297,-717.8823,-21.81854,-1001.908,-600.6055,35.23603,-741.3637,-588.3298,1.833923,-963.855,-587.8896,-100.607,-775.2173,-576.8259,-135.2233,-956.5176,-565.4179,-138.5618,-779.701,-555.0708,-174.0247,-945.8412,-593.8278,-143.6083,-792.7655,-582.574,-178.4369,-949.2886,-597.2971,-110.2645,-790.346,-585.2263,-144.9281,-926.6121,-486.4859,0.4610996,-844.6483,-482.1718,0.1473064,-938.6078,-267.1057,31.26641,-856.9526,-260.8742,9.978184,-950.2952,-51.66142,86.17939,-868.3243,-51.49364,84.80203,0,0,0,0,0,0,-953.2352,0.2238255,40.661,-871.311,0.2012291,39.07053
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/VR Quest/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,4,False,-871.3842,-786.7877,-57.02365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-896.7182,-719.7505,-23.60149,-851.0644,-717.6635,-23.82386,-1001.586,-600.3075,32.86855,-741.0228,-588.1279,-0.5869532,-963.189,-587.7198,-102.8896,-775.864,-576.657,-137.3992,-955.732,-565.2798,-140.8399,-780.6284,-554.9112,-176.1723,-945.0787,-593.7058,-145.8437,-793.7229,-582.416,-180.484,-948.6108,-597.1511,-112.5062,-791.0618,-585.0604,-146.9928,-926.4135,-486.3596,-0.8374166,-844.4506,-482.0229,-1.07113,-938.5821,-267.1046,30.78126,-856.9103,-260.7614,9.357497,-950.46,-51.86526,86.45216,-868.4743,-51.65681,84.92009,0,0,0,0,0,0,-953.3622,0.1796436,41.11385,-871.4457,0.1946573,39.36521
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/VR Quest/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,5,False,-870.9924,-786.6783,-58.77626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-896.3159,-719.5925,-25.3992,-850.6628,-717.4872,-25.59418,-1001.131,-600.0852,30.7986,-740.6223,-587.9287,-2.678838,-962.55,-587.5759,-104.9148,-776.379,-576.3859,-139.2486,-955.0273,-565.1552,-142.8635,-781.4119,-554.617,-177.9749,-944.3892,-593.5911,-147.8435,-794.5215,-582.1254,-182.2173,-947.9669,-597.0217,-114.5093,-791.6363,-584.7903,-148.7463,-926.1181,-486.274,-2.071471,-844.157,-481.8997,-2.232036,-938.4662,-267.1188,30.16314,-856.7895,-260.6648,8.548594,-950.5364,-51.98052,86.18204,-868.6024,-51.81084,84.76312,0,0,0,0,0,0,-953.4427,0.1481199,40.94044,-871.5648,0.1668291,39.35172
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/VR Quest/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,6,False,-870.6631,-786.6555,-59.89513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-895.9501,-719.5006,-26.60395,-850.2973,-717.3867,-26.79748,-1000.695,-599.9594,29.52472,-740.1932,-587.8417,-4.054643,-962.1285,-587.4016,-106.1882,-776.3464,-576.1974,-140.5115,-954.6034,-564.9664,-144.1279,-781.4845,-554.4019,-179.2088,-943.9755,-593.4037,-149.1221,-794.6172,-581.9025,-183.4303,-947.5497,-596.848,-115.7889,-791.6348,-584.5899,-149.9696,-925.8008,-486.2112,-3.066398,-843.8407,-481.8183,-3.211994,-938.2224,-267.0915,29.3808,-856.5506,-260.585,7.511024,-950.3735,-51.93024,85.29405,-868.4709,-51.84555,84.02206,0,0,0,0,0,0,-953.2826,0.1832733,40.03519,-871.4442,0.1790333,38.66512
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/VR Quest/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,7,False,-870.0715,-786.5695,-61.4894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-895.3773,-719.3939,-28.24038,-849.7253,-717.2567,-28.36243,-1000.076,-599.7822,27.54753,-739.5177,-587.7321,-5.892167,-961.3033,-587.2587,-108.11,-776.3688,-575.9547,-142.1507,-953.7059,-564.8304,-146.0394,-781.6905,-554.1254,-180.8042,-943.0931,-593.2762,-151.0174,-794.8663,-581.6124,-184.9786,-946.7181,-596.7167,-117.6894,-791.7125,-584.3281,-151.5359,-925.3699,-486.1788,-4.214887,-843.413,-481.7262,-4.301628,-937.9631,-267.136,28.68261,-856.2935,-260.5023,6.412932,-950.3102,-51.98735,84.60111,-868.4063,-51.9511,83.40572,0,0,0,0,0,0,-953.234,0.1543522,39.37559,-871.3885,0.1470127,38.13383
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/VR Quest/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,8,False,-869.3073,-786.3709,-63.37748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-894.7101,-719.2864,-30.01631,-849.0604,-717.0972,-30.02872,-999.3853,-599.5751,25.13226,-738.8729,-587.5068,-8.070865,-960.2271,-587.3337,-110.4401,-777.1975,-575.6036,-143.9114,-952.5002,-564.9808,-148.3877,-782.9478,-553.7355,-182.4816,-941.9062,-593.4472,-153.2868,-796.1526,-581.2256,-186.5434,-945.6265,-596.8251,-119.9629,-792.6369,-583.9755,-153.1396,-925.0001,-486.2175,-5.064157,-843.0498,-481.6419,-5.069508,-937.9293,-267.328,28.71063,-856.268,-260.4561,6.011633,-950.6395,-52.33551,85.146,-868.743,-52.21177,83.77326,0,0,0,0,0,0,-953.6155,-0.03356361,40.10944,-871.7507,0.01470947,38.65139
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/VR Quest/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,9,False,-868.3938,-786.2322,-65.10576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-893.7962,-719.2111,-31.62483,-848.1506,-716.9414,-31.69824,-998.2821,-599.431,23.25482,-737.7926,-587.2958,-10.63873,-959.2802,-587.4142,-112.3826,-777.6773,-575.2649,-146.0181,-951.5852,-565.1222,-150.3725,-783.8556,-553.3647,-184.5038,-941.0149,-593.6024,-155.2424,-797.1293,-580.8412,-188.4318,-944.697,-596.9288,-121.909,-793.2294,-583.6176,-155.0729,-924.4598,-486.2705,-5.974529,-842.5184,-481.5413,-6.104531,-937.6957,-267.5072,28.49296,-856.0823,-260.3781,5.012899,-950.6734,-52.60818,85.22247,-868.7832,-52.37427,83.3791,0,0,0,0,0,0,-953.7979,-0.1976233,40.32233,-871.8726,-0.07454777,38.3476
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/VR Quest/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,10,False,-867.4516,-786.1434,-66.41554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-893.0632,-719.1412,-33.0737,-847.4185,-716.8724,-32.7658,-997.7068,-599.1749,20.69229,-736.9743,-587.3293,-11.33982,-957.6794,-587.2959,-114.6583,-776.9321,-574.9542,-146.6665,-949.6641,-565.0369,-152.6013,-783.0953,-552.9665,-185.1047,-939.1077,-593.538,-157.3783,-796.4253,-580.4091,-189.0771,-943.0426,-596.8408,-124.0715,-792.507,-583.2589,-155.7266,-923.9662,-486.2914,-7.014442,-842.0289,-481.4963,-6.775815,-937.4631,-267.6172,27.91528,-855.7557,-260.3384,4.249249,-950.8002,-52.7642,84.73593,-868.883,-52.53619,83.07887,0,0,0,0,0,0,-953.7417,-0.2628069,39.9297,-871.8291,-0.1716204,38.11318
