path,frame,compensation,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,x_21,y_21,z_21,x_22,y_22,z_22,x_23,y_23,z_23,x_24,y_24,z_24,x_25,y_25,z_25,x_26,y_26,z_26,x_27,y_27,z_27,x_28,y_28,z_28,x_29,y_29,z_29,x_30,y_30,z_30,x_31,y_31,z_31,x_32,y_32,z_32
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,1,1,1001.265,299.9778,5.740273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024.118,376.6957,-3.243894,978.4155,376.6947,-3.244039,1216.287,379.3184,-14.40463,786.2437,379.3185,-14.40439,1357.931,379.3182,-14.40477,644.5994,379.3183,-14.40414,1398.32,381.7526,-33.43606,604.2161,381.7519,-33.4355,1403.478,381.9085,-3.105426,599.058,381.9076,-3.10492,1370.262,387.1992,-0.9961133,632.2754,387.1882,-0.9948173,1042.304,612.0095,13.11168,960.2262,612.0092,13.11166,1042.304,833.8573,15.13498,960.2261,833.8573,15.13946,1042.304,1055.956,-0.3751335,960.2261,1055.955,-0.3756943,0,0,0,0,0,0,1042.304,1099.599,53.17767,960.2261,1099.599,53.1771
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,2,1,1010.938,297.6666,13.89035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027.7,373.2474,-1.699387,982.0145,372.4874,-0.7433863,1166.964,483.7792,3.94749,821.6382,462.6191,-10.89269,1226.159,568.2819,100.9959,753.7434,542.2108,84.59837,1250.35,603.3181,114.6559,724.2399,573.108,97.78306,1237.775,591.5442,140.147,740.4886,565.9708,122.915,1218.789,574.0216,118.5085,761.0096,550.5995,101.044,1042.252,609.0797,2.151146,960.4476,608.2035,8.782776,1038.292,830.5166,-10.90791,956.5032,829.6453,-4.205453,1033.715,1052.152,-31.52764,951.9847,1051.337,-24.22184,0,0,0,0,0,0,1037.988,1095.841,21.81667,956.2367,1095.024,29.12608
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,3,1,1044.872,307.041,52.36803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052.891,379.9226,27.6106,1007.405,376.6867,30.64793,1146.853,517.6115,8.122606,861.5925,478.4323,18.32964,1159.996,584.209,132.4413,857.2753,549.5144,140.7706,1166.944,619.7571,158.6599,844.4532,582.8239,167.6964,1158.496,597.0527,177.626,865.6559,567.1252,183.5259,1149.754,581.2355,149.1809,871.9064,552.4286,153.8498,1055.376,615.395,15.16241,973.9255,611.6504,24.57442,1045.15,837.0139,14.1466,962.0286,832.5791,8.152725,1028.235,1050.091,-48.14476,947.0367,1050.205,-36.37126,0,0,0,0,0,0,1031.498,1099.693,-0.1693459,950.314,1099.712,11.70123
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,4,1,1052.183,308.4138,62.12885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058.815,380.6263,35.69191,1013.399,376.9449,39.22939,1151.46,518.6284,9.098701,864.5756,475.3491,28.5747,1163.901,583.4695,134.414,863.103,546.3061,151.1553,1170.466,618.6816,161.1795,850.5335,579.325,178.554,1162.266,595.5965,179.7917,872.626,564.089,193.5991,1153.693,580.1268,151.1048,878.1266,549.5359,163.7046,1059.075,615.8905,20.66672,977.6151,611.5254,29.72486,1047.165,837.4135,18.1612,963.8636,832.0182,9.365007,1028.629,1049.068,-48.37434,947.4851,1049.339,-36.14738,0,0,0,0,0,0,1031.276,1099.361,-1.085121,950.0969,1099.431,11.3567
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,5,1,1055.858,309.1696,67.25511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061.813,381.0029,39.9479,1016.435,377.1149,43.73668,1153.786,519.0156,9.774153,866.2016,473.8901,33.99882,1165.807,582.8363,135.653,866.3188,544.8665,156.5771,1172.171,617.8499,162.7256,853.9333,577.7646,184.2038,1164.079,594.5628,181.1324,876.4586,562.7579,198.8319,1155.606,579.2968,152.3072,881.5426,548.2523,168.8408,1060.995,616.1517,23.56775,979.5321,611.4663,32.43895,1048.214,837.6173,20.38015,964.8537,831.7222,10.24473,1028.917,1048.575,-48.12431,947.7319,1048.82,-36.05367,0,0,0,0,0,0,1031.181,1099.151,-1.117821,950.0122,1099.219,11.14113
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,6,1,1060.158,310.1171,73.51491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.357,381.4612,45.15485,1020.022,377.3552,49.22662,1156.606,519.3167,10.70914,868.236,472.288,40.60446,1168.097,581.913,137.2505,870.3663,543.3706,163.1026,1174.233,616.689,164.6795,858.2455,576.1489,190.9881,1166.243,593.1762,182.8419,881.2629,561.4045,205.1078,1157.893,578.1524,153.8542,885.826,546.9346,175.0157,1063.323,616.4731,27.09053,981.8611,611.3956,35.74546,1049.495,837.8634,23.13474,966.0754,831.3654,11.56245,1029.29,1048.104,-47.28622,948.0015,1048.1,-36.05675,0,0,0,0,0,0,1031.111,1098.904,-0.5031929,949.8126,1098.896,10.73163
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,7,1,1063.236,310.6753,78.20793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068.177,381.6882,49.36026,1022.845,377.5662,53.45311,1159.023,519.6633,14.82438,870.9486,472.3647,44.91179,1168.659,577.2589,143.8707,874.3434,542.6042,167.8669,1174.268,610.9545,172.7242,862.565,575.2305,196.0756,1166.189,586.702,189.8446,885.6519,560.3159,209.9004,1158.275,572.7934,160.1856,889.9143,546.037,179.6733,1066.053,616.6891,31.17002,984.5907,611.5824,39.81113,1052.145,838.0734,27.1544,968.7263,831.5348,15.52202,1031.872,1048.26,-43.40766,950.6086,1048.313,-31.88243,0,0,0,0,0,0,1033.656,1099.099,3.333836,952.3985,1099.07,14.94845
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,8,1,1069.103,312.3185,87.4651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072.935,382.4975,56.86882,1027.677,378.0395,61.40464,1162.962,519.5656,14.26039,873.1249,469.5518,54.90208,1172.626,578.6001,142.6528,879.7286,540.9779,177.0404,1178.15,612.6238,171.1353,868.332,573.597,205.4138,1170.225,588.5165,188.5305,892.2639,559.3191,218.4513,1162.303,574.2594,159.0397,895.666,544.8592,188.2012,1068.696,617.2273,35.14753,987.2448,611.3326,43.37944,1052.601,838.4252,29.40434,969.1606,830.6444,15.16604,1030.405,1046.987,-45.27903,949.0901,1046.603,-35.10769,0,0,0,0,0,0,1031.396,1098.364,0.8956413,949.9988,1098.229,10.78922
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,9,1,1073.708,313.6531,95.10838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076.903,383.1404,63.26728,1031.682,378.5267,68.00183,1166.454,519.4489,16.12597,875.7363,468.2365,62.76514,1174.987,577.3408,145.1174,884.9302,540.1132,184.4709,1180.152,611.1111,173.9664,873.9819,572.7091,213.0467,1172.21,586.8014,191.0702,898.3976,558.7086,225.4737,1164.565,572.7955,161.3864,901.124,544.1863,195.1851,1071.434,617.6908,39.21997,989.9999,611.2963,47.24441,1053.919,838.749,32.36105,970.4035,830.0048,15.57046,1030.454,1045.931,-45.69945,949.1509,1045.703,-35.32943,0,0,0,0,0,0,1030.926,1097.865,-0.1447067,949.5343,1097.808,10.03037
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,10,1,1121.648,331.6951,172.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119.943,393.0609,129.4963,1075.003,386.6797,134.8252,1204.464,520.9925,52.14825,909.338,460.8674,133.5233,1194.243,567.1807,185.6595,939.4387,541.2055,246.23,1193.391,598.4261,217.6341,932.754,575.1061,274.6025,1185.818,572.0972,231.6347,960.0431,563.1677,282.3067,1182.593,560.3597,200.2092,957.2393,546.7681,252.9993,1101.842,623.884,82.40389,1020.932,613.1693,91.09139,1069.639,840.9969,50.0697,987.0318,824.3311,32.08121,1033.356,1040.784,-41.23689,952.8365,1035.468,-29.72596,0,0,0,0,0,0,1030.262,1096.949,-1.130508,949.7493,1091.65,10.35768
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,11,1,1180.799,363.6897,243.4253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172.808,415.2953,190.8855,1129.002,407.4257,201.267,1239.576,531.3424,82.82605,958.3369,470.3343,192.4833,1220.454,588.7904,210.8773,1018.434,556.0126,287.9332,1214.47,622.6537,239.4579,1021.092,592.8654,313.1073,1210.631,597.0557,256.0886,1047.965,578.3619,316.8611,1209.696,581.8326,226.0366,1037.706,559.9003,290.5999,1137.453,639.0939,123.7698,1058.293,625.305,140.5114,1089.283,848.7075,69.34288,1007.947,828.4718,66.96373,1034.133,1037.355,-35.24544,955.7662,1027.103,-19.00626,0,0,0,0,0,0,1031.115,1097.058,-0.6169586,952.7288,1086.797,15.63644
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportKompensiert.csv,12,1,1183.921,366.0659,247.0279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175.697,417.1991,194.0039,1131.982,409.2849,204.7296,1241.09,532.2868,84.13667,961.1169,471.3998,194.3566,1221.715,590.8877,211.6262,1022.669,556.7601,289.162,1215.468,624.9969,239.856,1025.89,593.6926,314.1529,1211.91,599.5435,256.7685,1052.592,578.8694,317.8704,1211.057,583.9904,226.8836,1041.998,560.4171,291.7358,1139.372,640.5647,125.9538,1060.328,626.6232,143.1138,1090.699,850.3141,72.50629,1009.104,828.963,67.91184,1034.343,1036.978,-34.95892,956.2701,1027.558,-17.74286,0,0,0,0,0,0,1031.305,1096.829,-0.5893097,953.2264,1087.406,16.63107
