path,frame,compensation,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,x_21,y_21,z_21,x_22,y_22,z_22,x_23,y_23,z_23,x_24,y_24,z_24,x_25,y_25,z_25,x_26,y_26,z_26,x_27,y_27,z_27,x_28,y_28,z_28,x_29,y_29,z_29,x_30,y_30,z_30,x_31,y_31,z_31,x_32,y_32,z_32
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,1,0,1001.265,299.9778,5.740273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024.118,376.6957,-3.243894,978.4155,376.6947,-3.244039,1216.287,379.3184,-14.40463,786.2437,379.3185,-14.40439,1357.931,379.3182,-14.40477,644.5994,379.3183,-14.40414,1398.32,381.7526,-33.43606,604.2161,381.7519,-33.4355,1403.478,381.9085,-3.105426,599.058,381.9076,-3.10492,1370.262,387.1992,-0.9961133,632.2754,387.1882,-0.9948173,1042.304,612.0095,13.11168,960.2262,612.0092,13.11166,1042.304,833.8573,15.13498,960.2261,833.8573,15.13946,1042.304,1055.956,-0.3751335,960.2261,1055.955,-0.3756943,0,0,0,0,0,0,1042.304,1099.599,53.17767,960.2261,1099.599,53.1771
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,2,0,994.2407,299.8674,32.64462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019.046,371.5259,8.072312,973.3694,372.9919,8.521688,1158.913,476.7756,-30.58745,822.6243,475.4012,-4.810978,1186.591,559.4968,81.01074,783.9219,547.3666,110.8877,1203.962,595.275,101.4451,762.0561,579.4503,133.0564,1186.726,581.2061,122.6948,780.7369,566.4081,153.7324,1174.86,563.6913,96.46172,794.9048,552.0602,126.7298,1045.56,606.4203,3.509001,963.5432,609.5037,4.197826,1052.964,827.0309,-18.7781,971.2427,831.1829,-0.2477174,1060.305,1047.607,-48.117,978.4606,1049.138,-45.09786,0,0,0,0,0,0,1062.532,1095.77,1.3597,980.6707,1096.726,4.933855
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,3,0,993.7168,312.4525,60.97508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019.084,379.4885,27.63637,973.4301,381.5635,27.90013,1124.027,498.7738,-29.41168,863.559,511.1595,4.012144,1086.262,511.5729,106.5037,896.7964,522.6897,141.2179,1079.02,534.0649,144.4649,901.1107,544.4536,180.0335,1068.33,505.666,149.5439,914.1476,516.9481,184.5118,1071.707,502.1813,116.1944,911.8788,514.2878,150.9931,1048.709,613.0088,6.101518,966.7449,617.322,6.475111,1060.592,832.465,-24.2021,978.9515,838.6439,-2.921158,1072.154,1048.095,-78.40683,990.1877,1048.193,-77.29233,0,0,0,0,0,0,1075.14,1099.84,-32.73212,993.1956,1099.787,-31.4487
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,4,0,993.568,312.7485,63.50132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.906,379.7642,30.06909,973.2515,381.8417,30.31136,1123.795,499.1622,-26.60075,863.2469,511.3812,6.844917,1085.587,511.8181,109.2042,897.5342,522.8614,143.7963,1078.194,534.2752,147.1569,902.1409,544.6098,182.587,1067.53,505.8572,152.1844,915.2189,517.1057,186.9532,1071.016,502.3989,118.8434,912.6934,514.4592,153.4517,1048.544,613.2034,7.710693,966.5806,617.52,7.99189,1060.603,832.5298,-23.45121,978.9382,838.8021,-2.115764,1072.367,1047.868,-78.7604,990.3734,1048.072,-77.23989,0,0,0,0,0,0,1075.26,1099.836,-33.33268,993.3593,1099.831,-31.58137
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,5,0,993.2859,312.8808,65.19864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.619,379.9293,31.7826,972.965,382.0214,31.99398,1123.47,499.397,-24.58488,862.9048,511.5549,8.874256,1084.976,511.9498,111.1488,898.0311,523.0219,145.6139,1077.485,534.3812,149.0974,902.8765,544.7668,184.3775,1066.838,505.9507,154.0895,915.9796,517.2617,188.6612,1070.394,502.512,120.754,913.2487,514.6181,155.1756,1048.345,613.2947,8.808484,966.3821,617.6422,9.016766,1060.572,832.5121,-23.04687,978.8958,838.8934,-1.56636,1072.509,1047.7,-78.9018,990.5286,1047.915,-77.34671,0,0,0,0,0,0,1075.417,1099.785,-33.60929,993.4917,1099.811,-31.84127
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,6,0,992.8781,312.9663,66.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.197,380.0671,33.4376,972.5436,382.1774,33.6285,1122.992,499.5886,-22.70706,862.5152,511.7476,10.78654,1084.395,512.0851,113.0028,898.5084,523.326,147.2912,1076.865,534.5026,150.9519,903.6122,545.106,186.0018,1066.231,506.0648,155.9292,916.7234,517.5962,190.2305,1069.813,502.6366,122.5953,913.7802,514.9214,156.7653,1048.028,613.3685,9.987218,966.0673,617.7533,10.13324,1060.42,832.5024,-22.37588,978.7444,838.9833,-0.6968651,1072.539,1047.627,-78.43526,990.6252,1047.78,-77.05698,0,0,0,0,0,0,1075.444,1099.769,-33.2084,993.5903,1099.785,-31.67639
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,7,0,992.545,312.9589,67.83603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.808,380.1516,34.59626,972.1552,382.2655,34.79412,1122.518,499.7022,-21.55157,861.9783,511.7814,12.09099,1083.986,512.3214,114.1656,898.1252,523.462,148.5463,1076.469,534.7741,152.0964,903.2496,545.2645,187.2415,1065.845,506.3382,157.1072,916.4003,517.7728,191.4655,1069.411,502.8782,123.7748,913.4192,515.0803,158.0051,1047.658,613.4406,11.0567,965.6981,617.8342,11.21006,1060.079,832.561,-21.38609,978.4099,839.0742,0.6243668,1072.229,1047.761,-77.14861,990.3244,1047.803,-75.91551,0,0,0,0,0,0,1075.141,1099.843,-31.85328,993.3024,1099.825,-30.55564
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,8,0,991.8257,313.124,69.71358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.173,380.2687,36.43256,971.522,382.4206,36.50119,1121.883,499.9157,-19.10783,861.3337,511.9656,14.15634,1082.93,512.3442,116.5068,898.6374,523.7862,150.2879,1075.275,534.7472,154.4394,904.0921,545.6292,188.9152,1064.667,506.2943,159.3872,917.2748,518.1403,193.0566,1068.337,502.8746,126.0619,914.0099,515.4126,159.6256,1047.259,613.4357,12.09554,965.3037,617.9255,12.13136,1059.965,832.4274,-21.09737,978.2921,839.1357,1.267019,1072.441,1047.522,-77.19546,990.5389,1047.578,-75.99744,0,0,0,0,0,0,1075.369,1099.719,-32.03424,993.519,1099.725,-30.78182
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,9,0,990.9793,313.3079,71.62152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.37,380.3668,38.20174,970.7216,382.5902,38.26305,1120.958,500.0939,-16.90182,860.4684,512.2115,16.70496,1081.931,512.2511,118.7159,899.4492,524.1511,152.3554,1074.239,534.5807,156.6842,905.3818,546.0283,190.8926,1063.653,506.1102,161.577,918.6121,518.5419,194.8961,1067.341,502.7523,128.2475,914.9349,515.7843,161.5104,1046.8,613.3881,12.97855,964.8533,618.024,13.06632,1059.838,832.2303,-21.05923,978.2047,839.2012,1.974283,1072.633,1047.187,-77.61102,990.7401,1047.36,-76.00663,0,0,0,0,0,0,1075.686,1099.529,-32.6262,993.7969,1099.612,-30.91728
/Users/salomekoller/Library/CloudStorage/OneDrive-ZHAW/8. Semester/Bachelorarbeit/Unity VR Environment/Assets/AvatarDataAugmentation/Data/KeypointsExportNichtKompensiert.csv,10,0,990.11,313.4214,73.11037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.569,380.4359,39.66453,969.9238,382.7073,39.635,1120.096,500.2683,-14.90269,859.5381,512.3268,18.49983,1080.821,512.2431,120.6597,899.491,524.4609,153.8498,1073.041,534.5249,158.6382,905.6783,546.3875,192.319,1062.475,506.0388,163.4823,918.9695,518.9207,196.256,1066.224,502.72,130.1557,915.0527,516.1222,162.901,1046.305,613.3484,13.8792,964.365,618.1001,13.92235,1059.616,832.0841,-20.73412,977.9814,839.2616,2.837149,1072.691,1046.969,-77.49463,990.7934,1047.206,-75.66925,0,0,0,0,0,0,1075.775,1099.407,-32.62406,993.8546,1099.523,-30.65641
